"Error_Dist","Scenario","Tau","Method","Kernel","p","MSE_beta","MAE_beta","WMSE_beta","CheckLoss_test","Bias_beta_avg","Coverage_beta_avg","CI_Width_beta_avg","Fit_Time_avg_sec","Rhat_beta_max","ESS_bulk_beta_min","ESS_tail_beta_min","Rhat_theta","ESS_bulk_theta","ESS_tail_theta","Num_Divergences_avg"
"mix_norm_v3v4","Sparse_p20",0.5,"BSQR","Triangular",20,0.0408764625433501,0.162075023180954,0.494614929859896,0.825702435436667,0.00102310364270394,0.93175,0.731765690222563,29.5881703293324,1.00189125769637,2938.14497995033,2536.82178809866,1.00053967761176,4416.01826749682,2866.05443964291,0
"mix_norm_v3v4","Sparse_p20",0.75,"QR","N/A",20,0.0696228712338012,0.210218229330242,0.830588880128259,0.854238053239975,0.00274448842809466,,,,,,,,,,
"mix_norm_v3v4","Sparse_p20",0.75,"BQR","ALD",20,0.0591316163148979,0.194586836008906,0.710431917607618,1.45329611159031,0.00213905494201864,0.866,0.72979105556713,25.000570756197,1.00215174339596,2326.25837730035,2349.86981012013,1.00056003422539,3972.00641292669,2812.40775738518,0
"mix_norm_v3v4","Sparse_p20",0.75,"BSQR","Gaussian",20,0.0589907884484161,0.194628376202034,0.710095227327811,0.843162967359893,0.00225399811202758,0.88575,0.763217743914131,107.222086069584,1.00199538894952,3061.76012582501,2569.72431521746,1.00054027948514,4420.35332006191,2829.13388591092,0.185
"mix_norm_v3v4","Sparse_p20",0.75,"BSQR","Uniform",20,0.0584340328582706,0.19373684656398,0.701596536449599,0.842513279833497,0.0022605026736242,0.8705,0.732735293025275,6.26638773202896,1.00193391076887,2953.90025120947,2570.17673601388,1.00063357641065,4391.7316180069,2853.55152807157,0
"mix_norm_v3v4","Sparse_p20",0.75,"BSQR","Epanechnikov",20,0.0584925895449682,0.193780799838175,0.703115692274818,0.842607794021396,0.00223350521552435,0.93025,0.874125784688006,38.825949845314,1.00193046966849,2895.55608060796,2546.11228368246,1.0005755286561,4465.5793644327,2853.52679533742,0
"mix_norm_v3v4","Sparse_p20",0.75,"BSQR","Triangular",20,0.0584956006712724,0.193746094785713,0.702630912195559,0.842562637981563,0.00221114594706588,0.87125,0.730242392080263,29.7677115690708,1.00191043432009,2872.8476448356,2548.58923529722,1.0006196323364,4398.18991137741,2859.90586335318,0
"mix_norm_v3v4","Dense_p8",0.25,"QR","N/A",8,0.0632430140403919,0.199250068796976,0.310262241957282,0.803181451622351,-0.00296159557392536,,,,,,,,,,
"mix_norm_v3v4","Dense_p8",0.25,"BQR","ALD",8,0.0571922414970598,0.190163287355895,0.280656685456953,1.53459073809991,-0.00296193691239185,0.85625,0.696659824859094,10.4756187033653,1.0018615740259,2168.12695146579,2234.18168011416,1.00055564876185,3466.82759992065,2676.51963092776,0
"mix_norm_v3v4","Dense_p8",0.25,"BSQR","Gaussian",8,0.0547180281504941,0.185372281408886,0.272524469544146,0.799709196438646,-0.00381322169183503,0.878125,0.727843485080895,68.9255695700645,1.00150363363287,2767.65713210815,2472.3849465119,1.00071824916545,3592.10367007948,2702.6028051848,0.095
"mix_norm_v3v4","Dense_p8",0.25,"BSQR","Uniform",8,0.0545339465654215,0.185086765917692,0.270609127961095,0.799477059702586,-0.00309874074843543,0.8675,0.697066817132703,4.07746272206306,1.00165526598675,2714.29791552621,2468.20816373498,1.00063849635993,3565.72528256421,2695.45074322799,0
"mix_norm_v3v4","Dense_p8",0.25,"BSQR","Epanechnikov",8,0.0548106166916311,0.185589941010418,0.271298375804838,0.79951714740944,-0.00309857229031408,0.920625,0.862438991448906,24.2179591524601,1.00159965039704,2720.1767609798,2455.30345410132,1.0006536322167,3661.14161528071,2708.69648075734,0
